ID,Name,Team,Position,Availability,Selection,EA_Index,Price
365,Michael Dawson,Hull,Defender,100,1.5,267,4.6
366,Danny Rose,Spurs,Defender,100,6.4,406,4.8
367,Benoit Assou-Ekotto,Spurs,Defender,100,0.2,0,4.4
368,Younes Kaboul,Spurs,Defender,100,1.6,108,4.6
369,Kyle Walker,Spurs,Defender,100,0.6,201,5.8
370,Kyle Naughton,Swansea,Defender,100,0.3,175,4.0
371,Jan Vertonghen,Spurs,Defender,100,1.9,395,5.8
372,Vlad Chiriches,Spurs,Defender,100,0.1,69,4.7
373,Ezekiel Fryers,Crystal Palace,Defender,100,0.0,1,4.2
374,Milos Veljkovic,Spurs,Defender,,0.2,0,3.9
375,Ryan Fredericks,Spurs,Defender,0,0.1,0,4.0
376,Mousa Dembélé,Spurs,Midfielder,100,0.4,202,5.0
377,Sandro Ranieri Guimaraes Cordeiro,QPR,Midfielder,100,0.1,130,4.8
378,Aaron Lennon,Everton,Midfielder,100,0.7,225,6.2
379,Iago Falque,Spurs,Midfielder,0,0.0,0,4.5
380,Tom Carroll,Swansea,Midfielder,100,0.1,96,4.4
381,Gylfi Sigurdsson,Swansea,Midfielder,100,25.0,561,6.5
382,José Paulo Bezerra Maciel Júnior,Spurs,Midfielder,100,1.0,66,6.7
383,Andros Townsend,Spurs,Midfielder,100,0.4,175,6.2
384,Nacer Chadli,Spurs,Midfielder,100,11.1,564,6.2
385,Etienne Capoue,Spurs,Midfielder,100,0.1,118,4.8
386,Erik Lamela,Spurs,Midfielder,100,1.4,427,7.4
387,Christian Eriksen,Spurs,Midfielder,,18.4,641,7.9
388,Nabil Bentaleb,Spurs,Midfielder,100,0.9,309,4.3
389,Harry Winks,Spurs,Midfielder,,0.0,0,4.4
390,Alex Pritchard,Spurs,Midfielder,0,0.0,0,4.5
391,Lewis Holtby,Spurs,Midfielder,0,0.1,6,5.8
392,Emmanuel Adebayor,Spurs,Forward,100,1.8,166,7.9
393,Harry Kane,Spurs,Forward,,44.8,826,6.0
394,Roberto Soldado,Spurs,Forward,100,0.8,111,7.6
395,Asmir Begovic,Stoke,Goalkeeper,100,5.5,352,4.8
396,Thomas Sørensen,Stoke,Goalkeeper,,0.2,0,4.3
397,Andy Wilkinson,Stoke,Defender,100,2.0,0,3.8
398,Ryan Shawcross,Stoke,Defender,100,7.0,340,5.3
399,Robert Huth,Leicester,Defender,100,0.5,132,4.7
400,Marc Wilson,Stoke,Defender,100,1.2,223,4.3
401,Geoff Cameron,Stoke,Defender,100,3.4,260,4.2
402,Erik Pieters,Stoke,Defender,100,0.9,330,4.6
403,Marc Muniesa,Stoke,Defender,100,0.2,188,4.2
404,Phil Bardsley,Stoke,Defender,100,0.5,271,4.9
405,Dionatan do Nascimento Teixeira,Stoke,Defender,100,0.0,1,4.2
406,Ryan Shotton,Stoke,Defender,0,0.2,0,4.0
